,,n,prev,AUC,TPR,FPR,Selection
Sex,Female,5784.0,6.8983,0.7251,0.6015,0.2821,30.4115
Sex,Male,5189.0,6.456,0.7081,0.5821,0.2734,29.3313
Age group,15-29,856.0,3.7383,0.6445,0.2188,0.0801,8.528
Age group,30-39,1805.0,4.8199,0.66,0.3563,0.1589,16.8421
Age group,40-49,2239.0,5.4042,0.7169,0.5455,0.2479,26.3957
Age group,50-59,3203.0,6.9934,0.7058,0.6339,0.3384,35.9038
Age group,60-69,2870.0,9.4077,0.7225,0.7,0.3746,40.5226
Employment,Self-employed,4118.0,8.2079,0.7137,0.6953,0.386,41.1365
Employment,Wage-precarious,1191.0,5.3736,0.7791,0.6406,0.2263,24.8531
Employment,Wage-regular,5664.0,5.8616,0.7,0.4789,0.2123,22.7931
Education,≤Middle,784.0,14.0306,0.7058,0.8,0.5623,59.5663
Education,High/College,6593.0,6.7496,0.7123,0.6157,0.3094,33.0047
Education,University+,3590.0,4.9304,0.6868,0.4011,0.1655,17.7159
