,0
Painful postures,0.04048998906284952
Heavy loads,0.029279936392107478
Weekly hours,0.028498948176284667
Age,0.024288993124075647
Emot. disturbing,0.01971357818160284
Loud noise,0.018619398975758608
High temperature,0.017498761022792693
Education,0.01349582021202817
Lifting people,0.01287217614977886
Sex=1,0.009550869476184096
Sex=2,0.009433933050226766
Angry clients,0.009364376620705545
Handling customers,0.008141956234473393
Repetitive mov.,0.006812621125662284
Fumes/dust,0.0055677352345755845
Occ=5,0.005429937948959448
Vibration,0.00539895095869999
Emp=1,0.0050331315544221355
Company size,0.004982956546140348
Emp=3,0.004959284389790714
Sitting,0.004867391586848141
Ind=1,0.004582177333848445
Ind=7,0.004534554588931315
Low temperature,0.004507140066574212
Standing,0.004358199790907691
Income,0.004160233049621492
Occ=6,0.0035150660479436858
Secondhand smoke,0.0031680525822374715
Occ=3,0.002107563942363105
Occ=4,0.002045099897760041
Solvent vapours,0.0020054373494093167
Chemicals(skin),0.001883842442619606
Infectious mat.,0.0013258124236899228
Ind=9,0.001074858542143986
Occ=2,0.001065727662191497
Ind=3,0.0008787944494491428
Emp=4,0.0008560355852302818
Occ=9,0.0006890588078625163
Ind=17,0.000439655986585854
Emp=2,0.0004354552859949958
Ind=8,0.00043097362191347
Ind=11,0.000404712808363693
Occ=7,0.00040074983371293825
Ind=19,0.0003851818659438662
Occ=8,0.00035484816004041175
Ind=12,0.00028115616758439923
Ind=16,0.00022249207273713998
Ind=6,0.00019559532108777517
Ind=13,0.0001709043059765326
Ind=15,0.00015534023294807466
Ind=14,0.00011860981968120819
Ind=18,0.00010395476915510174
Ind=10,7.86121377840654e-05
Occ=10,0.0
Ind=20,0.0
Ind=5,0.0
Occ=1,0.0
Ind=2,0.0
Ind=4,0.0
Ind=21,0.0
